ROUTE_ID,노선명,순번,NODE_ID,ARS_ID,정류소명,X좌표,Y좌표
100100036,171,12,100000076,01172,창덕궁.서울돈화문국악당,126.9885394,37.57754057
100100044,262,12,106000001,07001,망우역.상봉터미널,127.0911386,37.59782836
100100023,144,12,108000070,09158,빨래골입구.수유1동주민센터,127.0177651,37.62985885
100100031,152,12,107000003,08003,길음뉴타운,127.0241682,37.60362623
100100037,172,12,107000132,08222,장곡초교사거리,127.049918,37.617257
100100024,145,12,107000105,08195,석관중고등학교앞,127.0640252,37.60926115
100100046,270,12,113000135,14226,연남동,126.927541,37.56252217
100100038,201,12,221000101,39077,행정복지센터.새마을금고,127.1401791,37.59208642
100100032,163,12,108000003,09003,수유역,127.0241165,37.63665909
100100047,271,12,106000057,07151,상봉2동주민센터,127.081088,37.591647
100100025,146,12,110000095,11195,두산아파트.도심공항수락터미널,127.0532768,37.67844425
100100039,202,12,222001514,42413,동익미라벨,127.1221549,37.64774843
100100033,160,12,108000001,09001,수유3동우체국,127.0290427,37.64124178
100100026,147,12,107000119,08209,돌곶이역,127.0575579,37.61020459
100100048,272,12,105000009,06009,중랑교,127.067704,37.59169961
100100042,260,12,106000209,07304,신내초등학교,127.10075,37.6061556
100100027,148,12,107000062,08152,종암동주민센터,127.0341075,37.59941526
100100034,162,12,100000005,01005,혜화동로터리.여운형활동터,127.001744,37.586243
100100049,273,12,106000156,07251,중화2동주민센터,127.077354,37.60173282
100100035,163,12,107000048,08138,월곡중학교,127.0491494,37.60689212
100100029,150,12,108000001,09001,수유3동우체국,127.0290427,37.64124178
100100043,261,12,107000130,08220,꿈의숲아이파크아파트,127.051061,37.617995
100100051,301,12,123000253,24344,가락동미륭아파트,127.1282355,37.49266221
100100062,401,12,123000295,24386,가락시장.가락몰,127.115874,37.491843
100100073,470,12,112000001,13001,북가좌동삼거리,126.9045265,37.57544638
100100081,506,12,120000109,21211,신림복지관앞,126.9196774,37.46528249
100100052,302,12,205000152,49085,영성중학교.하대원동행정복지센 ,127.1453565,37.42855086
100100074,471,12,112000405,13026,산골고개,126.9399957,37.59530182
100100063,402,12,122000318,23425,쟁골마을,127.1051606,37.48201553
100100082,507,12,117000099,18185,독산동정훈단지,126.903006,37.46445224
100100075,472,12,122000112,23215,선정릉역.무형문화재전수회관,127.0442024,37.5096985
100100053,303,12,204000005,48016,성남우체국,127.1505069,37.44213388
100100064,406,12,121000076,22152,서초동예술의전당,127.0108028,37.47969863
